id,name,category,description,attributes,information_score,created_at,updated_at
1,Organization Smartwatch,electronics,Already one increase within star. Check floor service animal plan partner training.,"{""battery_life_hours"": null}",1,2026-04-16 02:43:57.236638,2026-04-16 02:43:57.236644
2,Raise Smartwatch,electronics,More sit tonight you. Sometimes tend man pattern safe now last. Between make way cover enough.,"{""battery_life_hours"": 36}",2,2026-04-16 02:43:57.236646,2026-04-16 02:43:57.236647
3,Specific Smartwatch,electronics,Study way chair piece true. Stage base manage campaign half certainly lawyer.,"{""battery_life_hours"": null}",0,2026-04-16 02:43:57.236648,2026-04-16 02:43:57.236649
4,See Smartwatch,electronics,Small course exactly reduce themselves name. Work recently onto short. Something world action tree station learn.,"{""battery_life_hours"": 19}",2,2026-04-16 02:43:57.236650,2026-04-16 02:43:57.236651
5,Take Smartwatch,electronics,Detail while agent agree. Today eight state prevent.,"{""battery_life_hours"": null}",0,2026-04-16 02:43:57.236652,2026-04-16 02:43:57.236654
6,Serve Smartwatch,electronics,Left suggest your very center many. Write leg week claim series.,"{""battery_life_hours"": null}",0,2026-04-16 02:43:57.236655,2026-04-16 02:43:57.236656
7,Enter Smartwatch,electronics,Chance final choose. Blue manager police spend above range hear.,"{""battery_life_hours"": 17}",1,2026-04-16 02:43:57.236657,2026-04-16 02:43:57.236658
8,Test Smartwatch,electronics,"Know person deal common same push boy.
Can member common Democrat capital. Case per student free create.","{""battery_life_hours"": null}",1,2026-04-16 02:43:57.236659,2026-04-16 02:43:57.236660
9,Front Smartwatch,electronics,People many stage anyone director. Coach when quality use television. Light another think.,"{""battery_life_hours"": 33}",2,2026-04-16 02:43:57.236661,2026-04-16 02:43:57.236662
10,Bit Smartwatch,electronics,Seem least good fast. Alone might into. Play base hot mouth after high reduce.,"{""battery_life_hours"": null}",0,2026-04-16 02:43:57.236663,2026-04-16 02:43:57.236664
11,Start,grocery,Mouth spend stop star maybe door high over left fill nearly travel mention.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-16 02:43:57.236665,2026-04-16 02:43:57.236666
12,Together,grocery,Could successful must past class especially affect office protect.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-16 02:43:57.236667,2026-04-16 02:43:57.236668
13,Government,grocery,Once group ten feel anyone travel ago manager discover success leave animal.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",2,2026-04-16 02:43:57.236669,2026-04-16 02:43:57.236670
14,Other,grocery,Group stock always citizen time represent peace tonight process certain.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-16 02:43:57.236672,2026-04-16 02:43:57.236673
15,Others,grocery,Seem begin ok ever truth region democratic describe.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-16 02:43:57.236674,2026-04-16 02:43:57.236675
16,They,grocery,Three baby when it baby while.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",1,2026-04-16 02:43:57.236676,2026-04-16 02:43:57.236677
17,Foreign,grocery,Enough which young bank open administration forget daughter.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-16 02:43:57.236678,2026-04-16 02:43:57.236679
18,Office,grocery,Send inside strong American five class owner news several event.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-16 02:43:57.236680,2026-04-16 02:43:57.236681
19,Quality,grocery,Million over appear billion fund camera our job north statement.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",2,2026-04-16 02:43:57.236682,2026-04-16 02:43:57.236683
20,Cause,grocery,Food pressure apply create from evening.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-16 02:43:57.236684,2026-04-16 02:43:57.236685
21,List,grocery,Throughout west like ever my outside fast anything again as enter idea since early.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",1,2026-04-16 02:43:57.236686,2026-04-16 02:43:57.236687
22,Over,grocery,Candidate action college per sing anything skill account however ten entire sometimes.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",1,2026-04-16 02:43:57.236688,2026-04-16 02:43:57.236689
23,Not,grocery,Only near often lay matter ok another say analysis current international.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",2,2026-04-16 02:43:57.236691,2026-04-16 02:43:57.236692
24,Although,grocery,Future west ok bad pressure Congress technology seat take wonder.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-16 02:43:57.236693,2026-04-16 02:43:57.236694
25,Evidence,grocery,Heavy thing far government open eight past who question smile.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",1,2026-04-16 02:43:57.236695,2026-04-16 02:43:57.236696
